code,date,open,low,close,high
USDCNY.IB,2019/7/1 16:39,0,0,2,2
USDCNY.IB,2019/7/1 16:43,0,0,2,0
USDCNY.IB,2019/7/1 16:50,0,0,2,0
USDCNY.IB,2019/7/1 16:52,0,0,2,0
USDCNY.IB,2019/7/1 17:00,0,0,2,0
USDCNY.IB,2019/7/1 17:03,0,0,2,0
USDCNY.IB,2019/7/1 17:07,0,0,3,1
USDCNY.IB,2019/7/1 17:15,0,0,3,0
USDCNY.IB,2019/7/1 17:19,0,0,3,0
USDCNY.IB,2019/7/1 17:25,0,0,4,1
USDCNY.IB,2019/7/1 17:27,0,0,8,4
USDCNY.IB,2019/7/1 17:40,0,0,8,0
USDCNY.IB,2019/7/1 17:42,0,0,9,1
USDCNY.IB,2019/7/1 17:52,0,0,9,0
USDCNY.IB,2019/7/1 18:05,0,0,9,0
USDCNY.IB,2019/7/1 18:39,0,0,9,0
USDCNY.IB,2019/7/1 18:42,0,0,9,0
USDCNY.IB,2019/7/1 18:58,0,0,9,0
USDCNY.IB,2019/7/1 19:08,0,0,9,0
USDCNY.IB,2019/7/1 19:13,0,0,9,0
USDCNY.IB,2019/7/1 19:59,0,0,9,0
USDCNY.IB,2019/7/1 20:09,0,0,9,0
USDCNY.IB,2019/7/1 20:15,0,0,9,0
USDCNY.IB,2019/7/1 20:18,0,0,9,0
USDCNY.IB,2019/7/1 20:29,0,0,13,4
USDCNY.IB,2019/7/1 20:40,0,0,13,0
USDCNY.IB,2019/7/1 20:48,0,0,13,0
USDCNY.IB,2019/7/1 20:54,0,0,16,3
USDCNY.IB,2019/7/1 21:00,0,0,20,4
USDCNY.IB,2019/7/1 21:05,0,0,23,3
USDCNY.IB,2019/7/1 21:08,0,0,36,13
USDCNY.IB,2019/7/1 21:14,0,0,39,3
USDCNY.IB,2019/7/1 21:19,0,0,51,12
USDCNY.IB,2019/7/1 21:21,0,0,89,38
USDCNY.IB,2019/7/1 22:09,0,0,118,29
USDCNY.IB,2019/7/1 22:27,1,1,167,49
USDCNY.IB,2019/7/1 22:42,2,1,210,43
USDCNY.IB,2019/7/1 22:54,2,0,277,67
USDCNY.IB,2019/7/1 23:24,3,1,323,46
USDCNY.IB,2019/7/2 9:30,6,3,373,50
USDCNY.IB,2019/7/2 9:35,6,0,460,87
USDCNY.IB,2019/7/2 9:40,8,2,594,134
USDCNY.IB,2019/7/2 9:45,10,2,802,208
USDCNY.IB,2019/7/2 9:50,21,11,1144,342
USDCNY.IB,2019/7/2 9:55,35,14,1395,251
USDCNY.IB,2019/7/2 10:00,55,20,1547,152
USDCNY.IB,2019/7/2 10:05,55,0,1954,407
USDCNY.IB,2019/7/2 10:10,144,89,3269,1315
USDCNY.IB,2019/7/2 10:15,177,33,3983,714
USDCNY.IB,2019/7/2 10:20,233,56,5018,1035
USDCNY.IB,2019/7/2 10:25,281,48,5683,665
USDCNY.IB,2019/7/2 10:30,335,54,6650,967
USDCNY.IB,2019/7/2 10:35,422,87,8077,1427
USDCNY.IB,2019/7/2 10:40,465,43,9529,1452
USDCNY.IB,2019/7/2 10:45,578,113,11772,2243
USDCNY.IB,2019/7/2 10:50,759,181,14579,2807
USDCNY.IB,2019/7/2 10:55,1019,260,17089,2510
USDCNY.IB,2019/7/2 11:00,1228,209,19522,2433
USDCNY.IB,2019/7/2 11:05,1408,180,22141,2619
USDCNY.IB,2019/7/2 11:10,1789,381,25150,3009
USDCNY.IB,2019/7/2 11:15,2352,563,29474,4324
USDCNY.IB,2019/7/2 11:19,2921,569,33718,4244
USDCNY.IB,2019/7/2 11:25,4450,1529,38168,4450
USDCNY.IB,2019/7/2 11:30,4313,-137,41903,3735
USDCNY.IB,2019/7/2 11:35,4934,621,47806,5903
USDCNY.IB,2019/7/2 11:40,5373,439,51608,3802
USDCNY.IB,2019/7/2 11:45,6159,786,55242,3634
USDCNY.IB,2019/7/2 11:49,7097,938,60733,5491
USDCNY.IB,2019/7/2 11:54,7978,881,65077,4344
USDCNY.IB,2019/7/2 12:08,7978,0,70272,5195
USDCNY.IB,2019/7/2 12:13,9875,1897,78991,8719
USDCNY.IB,2019/7/2 12:17,10612,737,84279,5288
USDCNY.IB,2019/7/2 12:23,11329,717,88621,4342
